iter	Passed	Remaining
0	110	1104968
1	300	1500385
2	434	1447713
3	574	1435983
4	710	1421237
5	830	1383761
6	981	1401379
7	1127	1407789
8	1283	1424729
9	1392	1391602
10	1522	1382804
11	1649	1372761
12	1772	1361669
13	1926	1374338
14	2039	1357861
15	2136	1332924
16	2223	1305812
17	2331	1292894
18	2423	1273114
19	2519	1257469
20	2604	1237616
21	2692	1221339
22	2791	1211043
23	2898	1204915
24	2995	1195087
25	3097	1188349
26	3210	1185769
27	3298	1174569
28	3392	1166353
29	3414	1134723
30	3500	1125742
31	3589	1118135
32	3683	1112646
33	3787	1110135
34	3879	1104442
35	3983	1102565
36	4084	1099783
37	4190	1098543
38	4288	1095259
39	4396	1094777
40	4540	1102933
41	4569	1083409
42	4676	1082970
43	4788	1083470
44	4877	1079041
45	4986	1079004
46	5085	1076916
47	5212	1080675
48	5305	1077475
49	5383	1071340
50	5413	1056120
51	5511	1054361
52	5591	1049488
53	5675	1045315
54	5754	1040439
55	5852	1039241
56	5955	1038798
57	6054	1037767
58	6148	1035953
59	6242	1034213
60	6334	1032175
61	6423	1029677
62	6530	1029991
63	6634	1029968
64	6725	1027989
65	6821	1026728
66	6915	1025199
67	7002	1022730
68	7085	1019801
69	7174	1017709
70	7264	1015897
71	7352	1013811
72	7435	1011182
73	7527	1009749
74	7578	1002836
75	7678	1002678
76	7765	1000682
77	7862	1000142
78	7959	999568
79	8009	993119
80	8089	990643
81	8192	990856
82	8302	992014
83	8383	989708
84	8463	987286
85	8559	986780
86	8660	986748
87	8759	986672
88	8840	984509
89	8931	983493
90	9029	983236
91	9115	981750
92	9191	979124
93	9278	977791
94	9372	977155
95	9465	976519
96	9546	974603
97	9584	968389
98	9676	967703
99	9783	968563
100	9886	968969
101	9984	968861
102	10011	961995
103	10058	957109
104	10159	957439
105	10261	957774
106	10344	956410
107	10406	953169
108	10488	951777
109	10574	950787
110	10653	949152
111	10733	947583
112	10808	945665
113	10895	944870
114	10984	944167
115	11038	940593
116	11094	937119
117	11184	936657
118	11292	937641
119	11372	936305
120	11460	935716
121	11593	938690
122	11717	940943
123	11830	942262
124	11903	940379
125	12021	942062
126	12118	942059
127	12210	941763
128	12356	945512
129	12415	942598
130	12464	939013
131	12543	937712
132	12615	935950
133	12697	934849
134	12767	932952
135	12855	932370
136	12942	931729
137	12984	927925
138	13057	926364
139	13163	927060
140	13267	927700
141	13336	925834
142	13373	921812
143	13404	917494
144	13533	919785
145	13605	918286
146	13672	916420
147	13741	914770
148	13833	914607
149	13892	912241
150	13983	912071
151	14064	911219
152	14127	909255
153	14208	908422
154	14285	907346
155	14373	907027
156	14445	905669
157	14523	904676
158	14599	903605
159	14680	902843
160	14762	902187
161	14846	901582
162	14924	900690
163	14999	899576
164	15066	898064
165	15147	897332
166	15214	895821
167	15302	895579
168	15385	894974
169	15441	892875
170	15521	892194
171	15608	891869
172	15679	890670
173	15761	890073
174	15842	889426
175	15917	888471
176	15994	887662
177	16068	886675
178	16133	885173
179	16206	884157
180	16277	883042
181	16367	882925
182	16455	882749
183	16527	881709
184	16595	880483
185	16685	880381
186	16783	880733
187	16959	885144
188	17093	887321
189	17195	887825
