iter	MAE	RMSE
0	0.6701218467	0.9216353296
1	0.6642074703	0.9179569201
2	0.6592876551	0.915055873
3	0.6547556911	0.9125531609
4	0.650216144	0.9103474872
5	0.6460065715	0.908460528
6	0.6422998132	0.9068680311
7	0.6391511086	0.905673142
8	0.6366237525	0.9046701483
9	0.6337645771	0.9037439504
10	0.6311137954	0.9028977131
11	0.6286238396	0.902052085
12	0.627223803	0.9015550481
13	0.6252081635	0.9009534264
14	0.6233035569	0.9003560464
15	0.6220027336	0.9000367145
16	0.6210450227	0.8997168573
17	0.6200608753	0.8994237197
18	0.6192996444	0.8991352988
19	0.6179106808	0.8987058418
20	0.6170543928	0.8985092615
21	0.6165713634	0.8983319879
22	0.6155711003	0.8980945519
23	0.6150657926	0.8979350873
24	0.6145784054	0.8976796982
25	0.6142914591	0.8975322672
26	0.613773039	0.8973608087
27	0.6136193228	0.8971910092
28	0.613410369	0.897001096
29	0.6134147001	0.897000859
30	0.612876204	0.8968481399
31	0.612458592	0.8965883361
32	0.6116998337	0.8964334705
33	0.6109743401	0.8962419179
34	0.6107484842	0.8960947281
35	0.6105846246	0.8959664533
36	0.6104359589	0.8957680831
37	0.6097804507	0.895644558
38	0.6096578851	0.8955375696
39	0.6091355147	0.8953709688
40	0.6090251909	0.8953354984
41	0.6090257623	0.895335458
42	0.6088427925	0.8951972122
43	0.6086501334	0.8951313641
44	0.6084975225	0.8950085962
45	0.6082777312	0.8949304964
46	0.6081594262	0.8948252841
47	0.6080897452	0.8947490861
48	0.6080453877	0.8947081347
49	0.6079176261	0.8946877885
50	0.607916105	0.8946874875
51	0.6076116282	0.8945481753
52	0.6075704371	0.8944968701
53	0.6074240166	0.8943822746
54	0.606968363	0.8942851449
55	0.606916456	0.8942360338
56	0.6068570256	0.8942097503
57	0.6067152496	0.8940675256
58	0.6066787133	0.8940431977
59	0.6066268708	0.8939662948
60	0.6064974473	0.8939076223
61	0.6064080627	0.8938051116
62	0.6062978163	0.8937210226
63	0.6062036076	0.8936250207
64	0.6061118079	0.8935326435
65	0.6060965167	0.8935228575
66	0.6059989311	0.8934467209
67	0.6059651115	0.8934142818
68	0.6059271037	0.8933709859
69	0.6059060353	0.8933567109
70	0.6058735518	0.8933406307
71	0.6058316374	0.8932801345
72	0.6057743677	0.8931725985
73	0.6057280804	0.8931470841
74	0.6057299515	0.8931468345
75	0.6056522608	0.8930603287
76	0.6055460223	0.8929570922
77	0.6053896499	0.8928406433
78	0.6053501865	0.8928137163
79	0.6053388567	0.8928111418
80	0.6053363302	0.8927981467
81	0.6052878468	0.8927567179
82	0.6052133425	0.8926909502
83	0.6052057213	0.8926891313
84	0.6051969767	0.8926858047
85	0.6051304206	0.8926232857
86	0.605112936	0.8925839046
87	0.6050743711	0.8925624931
88	0.6050332666	0.8925445747
89	0.6049400164	0.8924632655
90	0.6048712773	0.8923963841
91	0.6048519354	0.8923698584
92	0.6048488942	0.8923690191
93	0.6048359302	0.8923551552
94	0.6045776039	0.8922614639
95	0.6045402617	0.8922326619
96	0.6045157508	0.8921972493
97	0.6045153844	0.8921971123
98	0.6044313673	0.8921157622
99	0.6043772169	0.8920649568
100	0.6043209838	0.8920088076
101	0.6042933568	0.8919825802
102	0.6042940191	0.8919812966
103	0.6042876503	0.8919790782
104	0.6041888062	0.8919139705
105	0.6041344277	0.8918507712
106	0.6040612167	0.8918163939
107	0.6040532429	0.8918155035
108	0.6039474057	0.891697055
109	0.6039161402	0.8916353804
110	0.6038716553	0.8915856906
111	0.6038596659	0.891537578
112	0.6038597749	0.8915317607
113	0.6038269251	0.8914816329
114	0.6036938016	0.891330454
115	0.6036874843	0.8913295199
116	0.6036875696	0.8913295197
117	0.6036852358	0.8913282343
118	0.6036342413	0.8912531223
119	0.6036253995	0.8912437404
120	0.603560152	0.8911600395
121	0.6034969613	0.8910946414
122	0.6033995758	0.8909741887
123	0.6033474863	0.8909208248
124	0.6033497801	0.8909191803
125	0.6032805097	0.8908442222
126	0.6032446754	0.890773391
127	0.6031765451	0.8906930558
128	0.6031392962	0.8906408325
129	0.6031360831	0.8906389718
130	0.6031347245	0.8906382414
131	0.6031150705	0.8906169912
132	0.6031076131	0.8906120665
133	0.6030758385	0.8905771916
134	0.6030544593	0.8905447531
135	0.6030022368	0.8904646273
136	0.6029569826	0.8904084796
137	0.6029535122	0.8904084064
138	0.6029515816	0.8904081475
139	0.6029066186	0.8903480345
140	0.6028619102	0.8902882183
141	0.6028554808	0.8902873549
142	0.6028548692	0.8902872438
143	0.6028542961	0.8902871375
144	0.6028531892	0.8902852419
145	0.6028036518	0.8902549588
146	0.6027981638	0.8902500024
147	0.6027062808	0.890154897
148	0.6025955727	0.8900307664
149	0.6025938463	0.8900306495
150	0.60257043	0.8900034151
151	0.6025286563	0.8899443491
152	0.6025186068	0.8899283067
153	0.6025023554	0.8898987407
154	0.6024734657	0.8898493182
155	0.6024698698	0.8898388596
156	0.602446304	0.8898173466
157	0.602366203	0.8897421876
158	0.602375124	0.8897412184
159	0.6023052292	0.8896835772
160	0.6022755896	0.8896403298
161	0.6022468395	0.8896134209
162	0.6022053666	0.8895453371
163	0.6021876155	0.8895257386
164	0.6021839407	0.8895206969
165	0.6021797955	0.8895156996
166	0.6021769498	0.8895112715
167	0.6021385765	0.8894663035
168	0.6018130953	0.8893593449
169	0.6018143241	0.8893591297
170	0.6017630213	0.8892591494
171	0.6016911439	0.8892105664
172	0.6016916212	0.8892101298
173	0.6016498578	0.8891265592
174	0.6016172143	0.8890760516
175	0.6016163674	0.8890747251
176	0.6016085078	0.8890606616
177	0.6016111659	0.8890598312
178	0.6016080968	0.8890578401
179	0.6015863246	0.8889952631
180	0.6015678572	0.8889947167
181	0.6015153896	0.8889296846
182	0.6014623043	0.8888471898
183	0.6014645506	0.8888468343
184	0.6014654178	0.888845891
185	0.6014047386	0.8887912332
186	0.6013655508	0.8887317761
187	0.6013619252	0.8887311166
188	0.6013223782	0.8886193939
189	0.6012702976	0.8885527265
190	0.6012136327	0.8884777048
191	0.6011808751	0.8884311734
192	0.601185133	0.8884279292
193	0.6011870246	0.8884269958
194	0.601145007	0.8883842637
195	0.6011180337	0.888376337
196	0.6010682519	0.8882899031
197	0.6010358961	0.8882283681
198	0.6009930854	0.8881558073
199	0.6009760683	0.888153047
200	0.6009112707	0.8880928699
201	0.6008591245	0.8880541908
202	0.6008516023	0.8880479539
203	0.600850665	0.888045195
204	0.6008368316	0.8880302036
205	0.6008380947	0.8880294922
206	0.6007865587	0.8879639499
207	0.6007885033	0.8879634117
208	0.6007343306	0.8878997249
209	0.600664303	0.8878090918
210	0.6006650997	0.8878085296
211	0.6005878076	0.8877214655
212	0.6005823447	0.8877063851
213	0.6005582255	0.8876747719
214	0.600483712	0.8875471285
215	0.6004410727	0.8874962222
216	0.6004433136	0.8874956433
217	0.6004456577	0.8874952297
218	0.6004313366	0.8874827155
219	0.6004345217	0.8874785808
220	0.6004360855	0.887478137
221	0.6004360389	0.8874773464
222	0.6004383742	0.8874765434
223	0.6003901803	0.8873789562
224	0.6003938248	0.8873756392
225	0.6003304503	0.8873050308
226	0.6003122546	0.8872751773
227	0.6002576586	0.8872113079
228	0.60025685	0.8872106301
229	0.6002191098	0.887163407
230	0.6002225606	0.8871604425
231	0.6001570952	0.8870858099
232	0.600078611	0.8869748637
233	0.600026195	0.8869388242
234	0.5999760586	0.8868847706
235	0.5999274379	0.8868282916
236	0.5998848358	0.8867778167
237	0.5998896469	0.8867756441
238	0.5998932123	0.886774924
239	0.5998583764	0.8867185112
240	0.5997189121	0.8866549128
241	0.5996772184	0.8865975415
242	0.5996424118	0.8865319903
243	0.5996359449	0.886523032
244	0.5995534529	0.8864170676
245	0.5995451149	0.8864056717
246	0.5995134074	0.8863601086
247	0.5994623089	0.8862880042
248	0.599363963	0.886156841
249	0.5993596361	0.8861440708
250	0.5993578199	0.8861397615
251	0.5992811223	0.8860415321
252	0.5992678814	0.8860188149
253	0.5992630547	0.8860073972
254	0.5992486448	0.8859803044
255	0.5992180614	0.8859132322
256	0.5991541587	0.8858328648
